"","Country","Technology","h","mean_ut","sd_ut","UtCite"
"89","Canada","Hydro",8760,0.54128913216202,6.28743834550888e-17,"WRI"
"90","Canada","Nuclear",8760,0.862355067519299,8.59975056989852e-17,"WRI"
"91","Canada","Oil",8760,0.388342138482398,1.96261557335472e-17,"WRI"
"92","Canada","Other",8760,15.1826484018265,0,"WRI"
"93","Canada","Solar",8760,0.117701028127865,3.1369599876349e-18,"WRI"
"94","Canada","Wave and Tidal",8760,NA,NA,"WRI"
"95","Canada","Wind",8760,0.212038359807176,2.06619086970647e-17,"WRI"
"96","Cape Verde","Oil",8760,NA,NA,"WRI"
"97","Central African Republic","Hydro",8760,NA,NA,"WRI"
"98","Central African Republic","Oil",8760,NA,NA,"WRI"
"99","Chile","Biomass",8760,1.58401933532443,1.53225334496544e-16,"WRI"
"100","Chile","Coal",8760,0.613464906904984,5.33333889735378e-17,"WRI"
"101","Chile","Gas",8760,0.475185577714108,4.29987528494926e-17,"WRI"
"102","Chile","Hydro",8760,0.411368509534902,4.19624860425158e-17,"WRI"
"103","Chile","Oil",8760,0.178546209007878,2.11986710359483e-17,"WRI"
"104","Chile","Petcoke",8760,0,NA,"WRI"
"105","Chile","Solar",8760,0.106155591534124,1.52023548612203e-17,"WRI"
"106","Chile","Wind",8760,0.183677914628644,2.01951476405393e-17,"WRI"
"107","China","Coal",8760,0.491539765732658,2.72067871200984e-17,"WRI"
"108","China","Gas",8760,0.218677647357376,1.99143672772031e-17,"WRI"
"109","China","Geothermal",8760,0.546720551444217,0,"WRI"
"110","China","Hydro",8760,0.469064283739702,4.27099122797747e-17,"WRI"
"111","China","Nuclear",8760,0.452964154116493,4.4282579559766e-17,"WRI"
"112","China","Oil",8760,0.817468416188228,7.85046229341888e-17,"WRI"
"113","China","Solar",8760,1.10586693566145,6.64024360619009e-17,"WRI"
"114","China","Wind",8760,0.349421406078938,2.39311218411419e-17,"WRI"
"115","Colombia","Coal",8760,0.584789570815591,5.55111512312578e-17,"WRI"
"116","Colombia","Gas",8760,0.47866508557396,3.92523114670944e-17,"WRI"
"117","Colombia","Hydro",8760,0.847774126083059,8.1995404452417e-17,"WRI"
"118","Colombia","Oil",8760,0.100189449140192,NA,"WRI"
"119","Congo, Rep.","Gas",8760,0.267721243748641,5.55111512312578e-17,"WRI"
"120","Congo, Rep.","Hydro",8760,0.49623652551031,3.20493781063927e-17,"WRI"
"121","Congo, Rep.","Oil",8760,0,0,"WRI"
"122","Costa Rica","Geothermal",8760,0.882486937701472,9.61481343191782e-17,"WRI"
"123","Costa Rica","Hydro",8760,0.590740232602318,8.51502189699727e-17,"WRI"
"124","Costa Rica","Oil",8760,0.255255497782483,3.92523114670944e-17,"WRI"
"125","Cote d'Ivoire","Gas",8760,1.09524781517433,1.57009245868378e-16,"WRI"
"126","Cote d'Ivoire","Hydro",8760,0.364572613412003,3.92523114670944e-17,"WRI"
"127","Croatia","Coal",8760,0.819150408191504,NA,"WRI"
"128","Croatia","Gas",8760,0.196602890415668,2.2662332591842e-17,"WRI"
"129","Croatia","Hydro",8760,0.641934224851585,6.79869977755259e-17,"WRI"
"130","Croatia","Oil",8760,0.0199000370233247,0,"WRI"
"131","Cuba","Gas",8760,0.776033507760335,1.11022302462516e-16,"WRI"
"132","Cuba","Oil",8760,0.535545665220008,5.55111512312578e-17,"WRI"
"133","Cuba","Wind",8760,0.190258751902588,NA,"WRI"
"134","Cyprus","Gas",8760,0,NA,"WRI"
"135","Cyprus","Oil",8760,0.767313546423135,0,"WRI"
"136","Czech Republic","Coal",8760,NA,NA,"WRI"
"137","Czech Republic","Gas",8760,NA,NA,"WRI"
"138","Czech Republic","Hydro",8760,NA,NA,"WRI"
"139","Czech Republic","Nuclear",8760,NA,NA,"WRI"
"140","Czech Republic","Solar",8760,NA,NA,"WRI"
"141","Congo, Dem. Rep.","Gas",8760,0.0319634703196347,NA,"WRI"
"142","Congo, Dem. Rep.","Hydro",8760,0.333526339959087,3.58322940412438e-17,"WRI"
"143","Congo, Dem. Rep.","Oil",8760,0.0344879912814358,NA,"WRI"
"144","Denmark","Biomass",8760,4.41962432544624,NA,"WRI"
"145","Denmark","Coal",8760,0.24818504590885,2.2662332591842e-17,"WRI"
"146","Denmark","Gas",8760,0.419035737990708,6.79869977755259e-17,"WRI"
"147","Denmark","Geothermal",8760,0,NA,"WRI"
"148","Denmark","Oil",8760,0.0544988171865544,NA,"WRI"
"149","Denmark","Solar",8760,1.07823343392021,0,"WRI"
"150","Denmark","Wind",8760,1.06031995574204,1.73580252387356e-16,"WRI"
"151","Djibouti","Oil",8760,NA,NA,"WRI"
"152","Dominican Republic","Coal",8760,0.926716071562243,1.11022302462516e-16,"WRI"
"153","Dominican Republic","Gas",8760,1.42890883325461,NA,"WRI"
"154","Dominican Republic","Hydro",8760,0.796256628685628,0,"WRI"
"155","Dominican Republic","Oil",8760,1.30722675950932,1.11022302462516e-16,"WRI"
"156","Dominican Republic","Solar",8760,0.905631659056317,NA,"WRI"
"157","Dominican Republic","Wind",8760,1.33473832103969,NA,"WRI"
"158","Ecuador","Gas",8760,0.782179335415286,9.06493303673679e-17,"WRI"
"159","Ecuador","Hydro",8760,0.401924478102924,5.23364152894592e-17,"WRI"
"160","Ecuador","Oil",8760,2.22303358515514,3.43990022795941e-16,"WRI"
"161","Egypt, Arab Rep.","Gas",8760,NA,NA,"WRI"
"162","Egypt, Arab Rep.","Hydro",8760,NA,NA,"WRI"
"163","Egypt, Arab Rep.","Oil",8760,NA,NA,"WRI"
"164","Egypt, Arab Rep.","Wind",8760,NA,NA,"WRI"
"165","El Salvador","Geothermal",8760,0.871832751365386,1.11022302462516e-16,"WRI"
"166","El Salvador","Hydro",8760,0.417896274155524,6.40987562127855e-17,"WRI"
