,Country,Technology,Project.Name,Sub.sector,Capacity,Capacity.Unit,Region,Time,EmiF,EmUnits,EmCite,h,mean_ut,sd_ut,UtCite
232,Tonga,Solar,Outer Island Renewable Energy Project - Additional Financing,Electricity Generation,1.3,MW,East Asia and Pacific,NA,0,NA,NA,NA,0.16,NA,IEA
113,Honduras,Solar,Pacific Solar Energy,Electricity generation,50,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.16,NA,IEA
210,Papua New Guinea,Hydro,Papua New Guinea: Town Electrification Investment Program - Tranche 2,Electricity Generation,28.3,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.43,NA,EIA
121,India,Solar,Parbhani Solar Plant,Electricity generation,34,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
82,Dominican Republic,Wind,Parques Eolicos del Caribe,Electricity generation,50,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.38,NA,Wright 2001
122,India,Solar,Patni Solar PV based power unit,Electricity Generation,10,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
26,Brazil,Solar,Pirapora Solar Park,Electricity generation,150,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.16,NA,IEA
110,Ethiopia,Geothermal,Project for Installation of Geothermal Wellhead Power System ,Electricity Generation,5,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.297116407,NA,WRI
233,Tonga,Wind,Project for installation of wind power generation system in Tonga,Electricity Generation,1.3,MW,East Asia and Pacific,NA,0,NA,NA,NA,0.335,NA,IEA
96,"Egypt, Arab Rep.",Solar,Ra Solar Plant,Electricity generation,10,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
108,"Egypt, Arab Rep.",Wind,Ras Ghareb Wind Farm,Electricity generation,250,MW,Middle East and North Africa,NA,0,NA,NA,8760,0.335,NA,IEA
229,Tanzania,Hydro,Regional Rusumo Hydroelectric Project,Electricity Generation,80,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.527026917,4.97E-17,WRI
214,Russian Federation,Solar,Renova Rosnano Altai Portfolio 64 MW,Electricity generation,64,MW,Europe and Central Asia,NA,0,NA,NA,8760,0.103659706,9.81E-18,WRI
128,India,Solar,Rewa Actis Solar Park,Electricity generation,250,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
190,Mexico,Wind,Reynosa Wind Farm,Electricity generation,424,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.462289919,3.82E-17,WRI
32,Brazil,Wind,Rio Grande do Norte Wind Portfolio,Electricity generation,129,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.135367997,1.61E-17,WRI
160,Jordan,Solar,Risha Solar Plant,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
126,India,Solar,Rising Bhadla 2 Solar Farm,Electricity generation,50,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
18,Bangladesh,Nuclear,Rooppur plant (Bangladesh),Electricity Generation,2400,MW,Rest of Asia,NA,0,NA,NA,NA,0.925,NA,EIA
198,Namibia,Solar,Rosh Pinah PV Plant,Electricity generation,10,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.16,NA,IEA
118,India,Solar,Sagardighi solar photovoltaic power unit ,Electricity Generation,10,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
192,Mongolia,Wind,Sainshand Wind Farm,Electricity generation,55,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.388127854,NA,WRI
133,India,Solar,Salboni Solar PV power unit,Electricity Generation,10,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
114,Honduras,Wind,San Marcos Wind Expansion,Electricity generation,20,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.360585635,NA,WRI
29,Brazil,Wind,Santa Vitoria do Palmar Wind Complex,Electricity generation,209,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.135367997,1.61E-17,WRI
183,Mexico,Solar,Santiago Solar Plant,Electricity generation,170,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.15,0,NREL
216,Samoa,Hydro,Savai’i hydro power,Electricity Generation,0.81,MW,East Asia and Pacific,NA,0,NA,NA,NA,0.43,NA,EIA
92,"Egypt, Arab Rep.",Solar,Scatec Solar Portfolio,Electricity generation,400,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
191,Mongolia,Solar,Second Energy Sector Project,Electricity Generation,10,MW,East Asia and Pacific,NA,0,NA,NA,NA,0.16,NA,IEA
28,Brazil,Wind,Serra da Babilonia Wind Park,Electricity generation,223,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.135367997,1.61E-17,WRI
27,Brazil,Solar,Sertao I and Sobral I Solar Power Plants,Electricity generation,60,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.16,NA,IEA
54,China,Solar,Shanghai Lingang Distributed Solar Power Project.,Electricity Generation,100,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
103,"Egypt, Arab Rep.",Solar,Shapoorji Energy Benban Solar Plant,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
151,Indonesia,Wind,Sidrap Wind Farm,Electricity generation,75,MW,East Asia and Pacific,NA,0,NA,NA,NA,0.335,NA,IEA
172,Malaysia,Solar,Solar Management (Seremban) Farm,Electricity generation,50,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.33873519,1.96E-17,WRI
181,Mexico,Solar,Solem Solar Farm,Electricity generation,290,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.15,0,NREL
146,Indonesia,Geothermal,Sorik Marapi Geothermal Power Plant,Electricity generation,240,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.853867668,9.79E-17,WRI
78,Cook Islands,Solar,Southern Renewable Energy Project,Electricity Generation,3,MW,East Asia and Pacific,NA,0,NA,NA,NA,0.16,NA,IEA
206,Pakistan,Hydro,Suki Kinari Hydropower Plant,Electricity generation,870,MW,South Asia,NA,0,NA,NA,8760,0.44904266,4.24E-17,WRI
200,Nepal,Hydro,Super Nyadi Hydropower,Electricity generation,30,MW,South Asia,NA,0,NA,NA,8760,0.775220444,1.06E-16,WRI
124,India,Solar,Suryoday Solar Plant,Electricity generation,50,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
37,Cambodia,Solar,Svay Rieng PV Solar Farm,Electricity generation,5,MW,East Asia and Pacific,NA,0,NA,NA,NA,0.16,NA,IEA
227,Tajikistan,Hydro,Tajikistani Central Area 500KV Power Transmission and Distribution Project,Electricity Generation,285,MW,Europe and Central Asia,NA,0,NA,NA,8760,0.389741383,4.20E-17,WRI
130,India,Solar,Talaricheruvu Solar Plant,Electricity Generation,100,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
106,"Egypt, Arab Rep.",Solar,Taqa Arabia Benban Solar Plant,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
208,Pakistan,Hydro,Tarbela Hydropower Plant Fifth Extension,Electricity Generation,1410,MW,South Asia,NA,0,NA,NA,8760,0.44904266,4.24E-17,WRI
119,India,Solar,Teni & Dindigul solar photovoltaic power plant,Electricity Generation,50,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
134,India,Solar,Thoothukudi 200 MW wind power plant,Electricity Generation,200,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
173,Malaysia,Solar,TNB Sepang Solar Plant,Electricity Generation,50,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.33873519,1.96E-17,WRI
243,Zimbabwe,Hydro,Tokwe-Mukosi Mini - hydro plant,Electricity Generation,15,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.826636225,NA,WRI
150,Indonesia,Wind,Tolo Wind Park,Electricity generation,72,MW,East Asia and Pacific,NA,0,NA,NA,NA,0.335,NA,IEA
209,Pakistan,Wind,Tricon Boston Consulting Limited (TBCL),Electricity generation,150,MW,South Asia,NA,0,NA,NA,8760,0.2414375,0.026281454,Kar 2015
161,Kazakhstan,Hydro,Turgusun HPP-1,Electricity Generation,43367,MW,Europe and Central Asia,NA,0,NA,NA,8760,0.45132289,3.20E-17,WRI
201,Nepal,Hydro,Upper Solu Khola Hydropower Plant,Electricity generation,20,MW,South Asia,NA,0,NA,NA,8760,0.775220444,1.06E-16,WRI
140,India,Wind,Vayu Urja Bharat Wind Farm,Electricity generation,120,MW,South Asia,NA,0,NA,NA,8760,0.2414375,0.026281454,Kar 2015
30,Brazil,Wind,Ventos da Bahia Wind Park,Electricity generation,116.6,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.135367997,1.61E-17,WRI
186,Mexico,Solar,Viborillas Solar Power Plant,Electricity generation,100,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.15,0,NREL
13,Argentina,Wind,Vientos Los Hercules Wind Farm,Electricity generation,97.2,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.393675989,5.29E-17,WRI
180,Mexico,Solar,Villanueva Solar Farm,Electricity generation,754,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.15,0,NREL
20,Bolivia,Hydro,Warnes (21MW) and Ventolera (24MW) Wind Farms,Electricity Generation,45,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.572174283,7.54E-17,WRI
231,Thailand,Wind,Wind Energy Holding Portfolio,Electricity generation,450,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.165796912,2.78E-17,WRI
104,"Egypt, Arab Rep.",Solar,Winnergy Benban Solar Plant,Electricity generation,19.3,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
168,Lao PDR,Hydro,Xe Namnoy 2 & Xe Katam 1 Hydro Power Plants,Electricity generation,15,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.43,NA,EIA
46,China,Solar,Xiantao Yanglinwei 150MW Solar Power Plant,Electricity generation,150,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
52,China,Solar,Yanan Yinggu Guorun Changde 200MW Distributed Solar Power Plant,Electricity generation,200,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
60,China,Solar,Yangquan City Baiyangshu 50MW Solar Power Plant,Electricity generation,48,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
61,China,Solar,Yaocheng Wucheng County 100MW Solar Power Plant,Electricity generation,100,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
43,China,Hydro,Yebatan Hydro Power Station Project,Electricity Generation,2240,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.469064284,4.27E-17,WRI
55,China,Solar,Yiyang Lingjiaocha 20MW Solar Power Plant,Electricity generation,20,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
62,China,Solar,Yonker Liuyang Economic Development Zone Solar Power Plant,Electricity generation,470,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
59,China,Solar,Yuanjiang County Natang 20MW Solar Power Plant,Electricity generation,12,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
63,China,Solar,Yumen Xinneng 50MW Molten Salt Optothermal Power Plant,Electricity generation,50,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
53,China,Solar,Yumen Zhongshangmingde 50MW Heat Conduction Oil Solar Power Plant,Electricity generation,50,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
36,Burkina Faso,Solar,Zagtouli solar power plant,Electricity Generation,33,MW,Sub-Saharan Africa,NA,0,NA,NA,NA,0.16,NA,IEA
58,China,Solar,Zhongmin New Energy Pingding County 50MW Solar Power Plant,Electricity generation,40,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
51,China,Solar,Zhuozi County Shenzhen Clou Solar Power Plant Phase I,Electricity generation,20,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
211,Papua New Guinea,Natural Gas,Gas Engine-based Power Plant,Electricity Generation,58,MW,Middle East+Africa,NA,535,g/kwh,Tong18,NA,0.6,NA,BU
156,Jamaica,Natural Gas,Old Harbour  Combined Cycle Power Station,Electricity generation,190,MW,Latin America+Canada,2015,464,g/kwh,Tong18,NA,0.6,NA,BU
16,Bangladesh,"Diesel, Natural Gas",Sirajganj 4 Combined Cycle Power Plant,Electricity generation,414,MW,South Asia,NA,406.6,kg co2/MWh,US DOE,8760,0.56,NA,US EIA
